TARGET,,,,stage,,,,,source,,references,,
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_name,varchar,жуфвр_1с,norm_workload,КлючевойРесурс_name,,ключевой_ресурс_name," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,несколько_ключевых_ресурсов,bool,жуфвр_1с,norm_workload,НесколькоКлючевыхРесурсов,,несколько_ключевых_ресурсов," bool,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,жуфвр,uuid,жуфвр_1с,norm_workload,ЖУФВР,,жуфвр," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключ_документа_ресурс,uuid,жуфвр_1с,norm_workload,КлючДокументаРесурс,,ключ_документа_ресурс," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_value,uuid,жуфвр_1с,norm_workload,СтруктураРабот_value,,структура_работ_value," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_codе,varchar,жуфвр_1с,norm_workload,СтруктураРабот_codе,,структура_работ_codе," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_name,varchar,жуфвр_1с,norm_workload,СтруктураРабот_name,,структура_работ_name," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_value,uuid,жуфвр_1с,norm_workload,РесурсSpider_value,,ресурс_spider_value," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_codе,varchar,жуфвр_1с,norm_workload,РесурсSpider_codе,,ресурс_spider_codе," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_name,varchar,жуфвр_1с,norm_workload,РесурсSpider_name,,ресурс_spider_name," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_value,uuid,жуфвр_1с,norm_workload,Аналитика_value,,аналитика_value," uuid,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_codе,varchar,жуфвр_1с,norm_workload,Аналитика_codе,,аналитика_codе," varchar,"
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_name,varchar,жуфвр_1с,norm_workload,Аналитика_name,,аналитика_name," varchar,"
