TARGET,,,,stage,,,,,source,,references
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,госномер_техника_не_найдена,varchar,жуфвр_1с,src_tech,"""ГосНомерТехникаНеНайдена""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,количество,int,жуфвр_1с,src_tech,"""Количество""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,часы,numeric,жуфвр_1с,src_tech,"""Часы""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_value,uuid,жуфвр_1с,src_tech,"""Ресурс_value""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_codе,varchar,жуфвр_1с,src_tech,"""Ресурс_codе""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,ресурс_name,varchar,жуфвр_1с,src_tech,"""Ресурс_name""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,аналитика_codе,varchar,жуфвр_1с,src_tech,"""Аналитика_codе""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,аналитика_name,varchar,жуфвр_1с,src_tech,"""Аналитика_name""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_value,varchar,жуфвр_1с,src_tech,"""Контрагент_value""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_codе,varchar,жуфвр_1с,src_tech,"""Контрагент_codе""",
sat,dv_sat_fact_tech,,attr,,stg_1c_tech,контрагент_name,varchar,жуфвр_1с,src_tech,"""Контрагент_name""",
hub,dv_hub_fact_work,,bk,,stg_1c_norm_workload,bk_работа_uuid,varchar,жуфвр_1с,src_norm_workload,"""Регистратор""",
,,,,,,,,,,,
msat,dv_msat_norm_workload,,bk,,stg_1c_norm_workload,bk_работа_uuid,varchar,жуфвр_1с,src_norm_workload,"""Регистратор""",dv_hub_fact_work
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,период,timestamptz,жуфвр_1с,src_norm_workload,"""Период""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,рассчетный_объем,numeric,жуфвр_1с,src_norm_workload,"""РассчетныйОбъем""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,трудоемкость_нормативная,numeric,жуфвр_1с,src_norm_workload,"""ТрудоемкостьНормативная""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,трудоемкость_фактическая,numeric,жуфвр_1с,src_norm_workload,"""ТрудоемкостьФактическая""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,наемный_ресурс,bool,жуфвр_1с,src_norm_workload,"""НаемныйРесурс""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_value,uuid,жуфвр_1с,src_norm_workload,"""КлючевойРесурс_value""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_code,varchar,жуфвр_1с,src_norm_workload,"""КлючевойРесурс_codе""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключевой_ресурс_name,varchar,жуфвр_1с,src_norm_workload,"""КлючевойРесурс_name""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,несколько_ключевых_ресурсов,bool,жуфвр_1с,src_norm_workload,"""НесколькоКлючевыхРесурсов""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,жуфвр,uuid,жуфвр_1с,src_norm_workload,"""ЖУФВР""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ключ_документа_ресурс,uuid,жуфвр_1с,src_norm_workload,"""КлючДокументаРесурс""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_value,uuid,жуфвр_1с,src_norm_workload,"""СтруктураРабот_value""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_codе,varchar,жуфвр_1с,src_norm_workload,"""СтруктураРабот_codе""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,структура_работ_name,varchar,жуфвр_1с,src_norm_workload,"""СтруктураРабот_name""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_value,uuid,жуфвр_1с,src_norm_workload,"""РесурсSpider_value""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_codе,varchar,жуфвр_1с,src_norm_workload,"""РесурсSpider_codе""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,ресурс_spider_name,varchar,жуфвр_1с,src_norm_workload,"""РесурсSpider_name""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_value,uuid,жуфвр_1с,src_norm_workload,"""Аналитика_value""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_codе,varchar,жуфвр_1с,src_norm_workload,"""Аналитика_codе""",
msat,dv_msat_norm_workload,,attr,,stg_1c_norm_workload,аналитика_name,varchar,жуфвр_1с,src_norm_workload,"""Аналитика_name""",
hub,dv_hub_object,,bk,,stg_pu_mat_supply,bk_объект,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование объекта""",
hub,dv_hub_material,,bk,,stg_pu_mat_supply,bk_материал,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование материала""",
hub,dv_hub_date,,bk,,stg_pu_mat_supply,bk_факт_дата,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""date""",
,,,,,,,,ПУ_xl_поставки_материалов,,,
link,dv_lnk_object_material_date,,bk,,stg_pu_mat_supply,bk_объект,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование объекта""",dv_hub_object
link,dv_lnk_object_material_date,,bk,,stg_pu_mat_supply,bk_материал,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование материала""",dv_hub_material
link,dv_lnk_object_material_date,,bk,,stg_pu_mat_supply,bk_факт_дата,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""date""",dv_hub_date
,,,,,,,,ПУ_xl_поставки_материалов,,,
sat,dv_sat_pu_mat_supply,,bk,,stg_pu_mat_supply,bk_объект,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование объекта""",dv_lnk_object_material_date
sat,dv_sat_pu_mat_supply,,bk,,stg_pu_mat_supply,bk_материал,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Наименование материала""",dv_lnk_object_material_date
sat,dv_sat_pu_mat_supply,,bk,,stg_pu_mat_supply,bk_факт_дата,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""date""",dv_lnk_object_material_date
sat,dv_sat_pu_mat_supply,,attr,,stg_pu_mat_supply,ед_измерения,varchar,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""Единица измерения""",
sat,dv_sat_pu_mat_supply,,attr,,stg_pu_mat_supply,факт_объем,numeric,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""volume""",
sat,dv_sat_pu_mat_supply,,attr,,stg_pu_mat_supply,план_объем_суточный,numeric,ПУ_xl_поставки_материалов,src_pu_mat_supply,"""План суточный""",
